,역명,좌표,행정구,지하철합계
181,을지로입구,"(37.5660509513873, 126.982372901787)",중구,142963
182,응암,"(37.5987423282207, 126.915512801302)",은평구,154246
183,이대,"(37.5567980142044, 126.945758201019)",마포구,67874
184,이수,"(37.485015143952, 126.981021812089)",동작구,81712
185,이촌(국립중앙박물관),"(37.522520254623, 126.973683151228)",용산구,38381
186,이태원,"(37.534483277545, 126.993721655506)",용산구,40329
187,일원,"(37.4840735840284, 127.084451750048)",강남구,71842
188,잠실(송파구청),"(37.513859279255, 127.101857941447)",송파구,350405
189,잠실나루,"(37.5206867318088, 127.103811089444)",송파구,85748
190,잠실새내,"(37.5115672093323, 127.086373867207)",송파구,94618
191,잠원,"(37.5127991148107, 127.01122017966)",서초구,23852
192,장승배기,"(37.5046658024741, 126.938744364462)",동작구,73760
193,장암,"(37.7001189599459, 127.053135359006)",의정부시,11697
194,장지,"(37.4781192050612, 127.126424204036)",송파구,110443
195,장한평,"(37.5615026802954, 127.064421108758)",동대문구,129194
196,제기동,"(37.5781967284885, 127.034690599752)",동대문구,262300
197,종각,"(37.5702140381269, 126.983239678933)",종로구,178346
198,종로3가,"(37.5704266025836, 126.99202930223)",종로구,508937
199,종로5가,"(37.5709075371016, 127.001916647342)",종로구,258298
200,종합운동장,"(37.5109692748993, 127.073356018706)",송파구,50220
201,중계,"(37.6448906789921, 127.064246723057)",노원구,162171
202,중곡,"(37.5655258842084, 127.084072412789)",광진구,110898
203,중화,"(37.6015796992834, 127.079469204905)",중랑구,99432
204,증산(명지대앞),"(37.5841954778004, 126.910057587886)",은평구,96544
205,지축,"(37.6496180734177, 126.912167788573)",고양시,38430
206,창동,"(37.6532174818989, 127.047714954434)",도봉구,239528
207,창신,"(37.5800168892429, 127.015211194258)",종로구,22671
208,천왕,"(37.4868219430207, 126.838713741162)",구로구,79569
209,천호(풍납토성),"(37.5385789820645, 127.123742434482)",강동구,256533
210,철산,"(37.4760980052319, 126.868003853399)",광명시,128136
211,청구,"(37.5602939125022, 127.013806006802)",중구,58440
212,청담,"(37.5194406566749, 127.053644513011)",강남구,69757
213,청량리(서울시립대입구),"(37.5802331563072, 127.045085886324)",동대문구,293250
214,총신대입구(이수),"(37.4875538278198, 126.982199707405)",동작구,130435
215,충무로,"(37.5612890978954, 126.994207448462)",중구,157001
216,충정로(경기대입구),"(37.5598377952439, 126.964474043785)",서대문구,94393
217,태릉입구,"(37.6185137762138, 127.075368429731)",노원구,105942
218,하계,"(37.6364521240646, 127.067988537404)",노원구,153540
219,하남검단산,"(37.5397591397808, 127.22344448627)",하남시,43625
220,하남풍산,"(37.5520576727898, 127.203870649661)",하남시,31480
221,학동,"(37.5142064294604, 127.031463762217)",강남구,69290
222,학여울,"(37.4967171864138, 127.071718971861)",강남구,14839
223,한강진,"(37.5402951544226, 127.001748287649)",용산구,26355
224,한성대입구(삼선교),"(37.5883948842004, 127.00595033342)",성북구,77990
225,한양대,"(37.55557788354, 127.043584493543)",성동구,24661
226,합정,"(37.5501152068908, 126.914638180431)",마포구,159887
227,행당,"(37.5572784369263, 127.029232035475)",성동구,54945
228,혜화,"(37.5818036223189, 127.001978401429)",종로구,210379
229,홍대입구,"(37.5568904093718, 126.923674307594)",마포구,165233
230,홍제,"(37.5887103667691, 126.944242309924)",서대문구,150165
231,화곡,"(37.5414336176977, 126.840496450153)",강서구,200045
232,화랑대(서울여대입구),"(37.6198943887187, 127.083744624338)",노원구,62380
233,회현(남대문시장),"(37.5585353196435, 126.978239147279)",중구,164278
234,효창공원앞,"(37.5393766399926, 126.961258439813)",용산구,46117
